Birthplace,Name,Born,Died,Age_Years,Age_Days,Race,Sex,Deathplace,Reign_Length,Accession_Years,Accession_Days
U.S.,Gertrude Baines,"Apr.  6, 1894","Sept. 11, 2009",115,158,B,F,U.S.,0.69,114,271
Japan,Kama Chinen,"May 10, 1895","May  2, 2010",114,357,O,F,Japan,0.64,114,124
France,Eugenie Blanchard,"Feb. 16, 1896","Nov.  4, 2010",114,261,W,F,France,0.51,114,75
Brazil,Maria Gomes Valentim,"July  9, 1896","June 21, 2011",114,347,W,F,Brazil,0.63,114,118
U.S.,Besse Cooper,"Aug. 26, 1896","Dec.  4, 2012",116,100,W,F,U.S.,1.45,114,299
Italy,Dina Manfredini,"Apr.  4, 1897","Dec.  17, 2012",115,257,W,F,U.S.,0.04,115,244
Japan,Jiroemon Kimura,"Apr. 19, 1897","June 12, 2013",116,54,O,M,Japan,0.48,115,242
Japan,Misao Okawa,"Mar.  5, 1898","Apr.  1, 2015",117,27,EA,F,Japan,1.8,115,99
U.S.,Gertrude Weaver,"July  4, 1898","Apr.  6, 2015",116,276,M,F,U.S.,0.01,116,271
U.S.,Jeralean Talley,"May 23, 1899","June 17, 2015",116,25,B,F,U.S.,0.2,115,318
U.S.,Susannah Mushatt Jones,"July  6, 1899","May 12, 2016",116,311,B,F,U.S.,0.9,115,346
Italy,Emma Morano,"Nov. 29, 1899","Apr. 15, 2017",117,137,W,F,Italy,0.92,116,165
Jamaica,Violet Brown,"Mar. 10, 1900","Sept. 15, 2017",117,189,B,F,Jamaica,0.42,117,36
Japan,Nabi Tajima,"Aug. 4, 1900","Apr. 21, 2018",117,260,EA,F,Japan,0.6,117,42
Japan,Chiyo Miyako,"May 2, 1901","July 22, 2018",117,81,EA,F,Japan,0.25,116,354
Japan,Kane Tanaka,"Jan. 2, 1903",,115,214,EA,F,Japan,0.02,115,201
